epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1658.57,0.48557,2.45505,0.17481,0.4859,0.96043,0.79528,0.90264,0.9027,0.82574,0.79528,0.90264,0.89024,0.62712,0.46329,1.91406,0.03219,0.50769,0.92437,0.000297226,0.000297226,0.000297226
85,1678.1,0.48887,2.54115,0.17022,0.48314,0.97281,0.8379,0.88206,0.9058,0.8304,0.8379,0.88206,0.88119,0.63556,0.45996,1.88637,0.02646,0.50548,0.92397,0.000280723,0.000280723,0.000280723
86,1697.88,0.47078,2.40928,0.1627,0.4676,0.96341,0.79481,0.91784,0.90614,0.82246,0.86361,0.82195,0.8569,0.63003,0.46008,1.94638,0.03184,0.5574,0.9343,0.00026422,0.00026422,0.00026422
87,1714.11,0.48922,2.5873,0.16257,0.45397,0.95865,0.75197,0.91967,0.86633,0.79159,0.81439,0.84628,0.81713,0.57773,0.45382,2.03827,0.02973,0.67172,0.9222,0.000247716,0.000247716,0.000247716
88,1729.32,0.48442,2.4344,0.16602,0.49439,0.97255,0.83685,0.89038,0.87846,0.80113,0.83685,0.89038,0.85689,0.60513,0.46659,1.92003,0.02747,0.57097,0.93599,0.000231213,0.000231213,0.000231213
89,1747.12,0.46962,2.40416,0.16121,0.45021,0.95572,0.84808,0.86886,0.88415,0.81143,0.84808,0.86886,0.85694,0.61663,0.45669,1.89745,0.02943,0.56551,0.92351,0.00021471,0.00021471,0.00021471
90,1763.64,0.4758,2.42464,0.16649,0.47123,0.96219,0.78343,0.89128,0.87716,0.79583,0.78343,0.89128,0.85637,0.5939,0.4664,1.97939,0.03743,0.57091,0.9276,0.000198206,0.000198206,0.000198206
91,1791.55,0.36025,1.56368,0.0578,0.33212,0.89536,0.8339,0.86213,0.86562,0.79329,0.8339,0.86213,0.84773,0.59992,0.46351,1.94353,0.03174,0.58499,0.92707,0.000181703,0.000181703,0.000181703
92,1809.27,0.3635,1.57028,0.04649,0.33175,0.88408,0.7681,0.93224,0.87934,0.79511,0.77377,0.9199,0.86171,0.59868,0.48736,1.96279,0.02225,0.5518,0.94463,0.0001652,0.0001652,0.0001652
93,1824.46,0.36414,1.55873,0.0396,0.32231,0.8931,0.84961,0.90888,0.88061,0.80179,0.84961,0.90888,0.86016,0.61678,0.46894,1.86414,0.01585,0.52023,0.92975,0.000148696,0.000148696,0.000148696
94,1846.24,0.35155,1.51507,0.04143,0.30836,0.87042,0.86917,0.89558,0.87483,0.79531,0.86917,0.89558,0.84982,0.63147,0.46236,1.76269,0.01732,0.52751,0.92772,0.000132193,0.000132193,0.000132193
95,1864.44,0.34209,1.58043,0.04023,0.33042,0.88858,0.86312,0.90644,0.89159,0.80684,0.86312,0.90644,0.86634,0.64373,0.46767,1.77167,0.01695,0.53769,0.93476,0.00011569,0.00011569,0.00011569
96,1880.22,0.33661,1.54491,0.04398,0.32304,0.87417,0.86613,0.91274,0.89448,0.80437,0.86613,0.91274,0.87408,0.63042,0.47622,1.84404,0.01697,0.53131,0.94898,9.91865e-05,9.91865e-05,9.91865e-05
97,1902.96,0.32978,1.5263,0.04078,0.30482,0.89416,0.84828,0.88441,0.89573,0.81156,0.84828,0.88441,0.88084,0.63754,0.47278,1.81468,0.01294,0.52532,0.94826,8.26832e-05,8.26832e-05,8.26832e-05
98,1921.9,0.32224,1.48136,0.03908,0.29604,0.85465,0.75397,0.88989,0.89806,0.82099,0.75397,0.88989,0.88253,0.63439,0.48299,1.90682,0.01252,0.57915,0.94825,6.61799e-05,6.61799e-05,6.61799e-05
99,1941.16,0.31722,1.48358,0.03938,0.29783,0.86922,0.78799,0.8806,0.89672,0.81403,0.78799,0.8806,0.87699,0.63244,0.48478,1.85283,0.01169,0.56899,0.95303,4.96766e-05,4.96766e-05,4.96766e-05
100,1957.12,0.32285,1.44026,0.03642,0.28984,0.86314,0.84967,0.85496,0.89602,0.81639,0.84967,0.85496,0.87141,0.64034,0.47747,1.82249,0.01245,0.56209,0.94517,3.31733e-05,3.31733e-05,3.31733e-05
